GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; With own children under 18 years:,Margin of Error; With own children under 18 years:,Estimate; With own children under 18 years: - Under 6 years only:,Margin of Error; With own children under 18 years: - Under 6 years only:,Estimate; With own children under 18 years: - Under 6 years only: - In labor force:,Margin of Error; With own children under 18 years: - Under 6 years only: - In labor force:,Estimate; With own children under 18 years: - Under 6 years only: - In labor force: - In Armed Forces,Margin of Error; With own children under 18 years: - Under 6 years only: - In labor force: - In Armed Forces,Estimate; With own children under 18 years: - Under 6 years only: - In labor force: - Civilian:,Margin of Error; With own children under 18 years: - Under 6 years only: - In labor force: - Civilian:,Estimate; With own children under 18 years: - Under 6 years only: - In labor force: - Civilian: - Employed,Margin of Error; With own children under 18 years: - Under 6 years only: - In labor force: - Civilian: - Employed,Estimate; With own children under 18 years: - Under 6 years only: - In labor force: - Civilian: - Unemployed,Margin of Error; With own children under 18 years: - Under 6 years only: - In labor force: - Civilian: - Unemployed,Estimate; With own children under 18 years: - Under 6 years only: - Not in labor force,Margin of Error; With own children under 18 years: - Under 6 years only: - Not in labor force,Estimate; With own children under 18 years: - Under 6 years and 6 to 17 years:,Margin of Error; With own children under 18 years: - Under 6 years and 6 to 17 years:,Estimate; With own children under 18 years: - Under 6 years and 6 to 17 years: - In labor force:,Margin of Error; With own children under 18 years: - Under 6 years and 6 to 17 years: - In labor force:,Estimate; With own children under 18 years: - Under 6 years and 6 to 17 years: - In labor force: - In Armed Forces,Margin of Error; With own children under 18 years: - Under 6 years and 6 to 17 years: - In labor force: - In Armed Forces,Estimate; With own children under 18 years: - Under 6 years and 6 to 17 years: - In labor force: - Civilian:,Margin of Error; With own children under 18 years: - Under 6 years and 6 to 17 years: - In labor force: - Civilian:,Estimate; With own children under 18 years: - Under 6 years and 6 to 17 years: - In labor force: - Civilian: - Employed,Margin of Error; With own children under 18 years: - Under 6 years and 6 to 17 years: - In labor force: - Civilian: - Employed,Estimate; With own children under 18 years: - Under 6 years and 6 to 17 years: - In labor force: - Civilian: - Unemployed,Margin of Error; With own children under 18 years: - Under 6 years and 6 to 17 years: - In labor force: - Civilian: - Unemployed,Estimate; With own children under 18 years: - Under 6 years and 6 to 17 years: - Not in labor force,Margin of Error; With own children under 18 years: - Under 6 years and 6 to 17 years: - Not in labor force,Estimate; With own children under 18 years: - 6 to 17 years only:,Margin of Error; With own children under 18 years: - 6 to 17 years only:,Estimate; With own children under 18 years: - 6 to 17 years only: - In labor force:,Margin of Error; With own children under 18 years: - 6 to 17 years only: - In labor force:,Estimate; With own children under 18 years: - 6 to 17 years only: - In labor force: - In Armed Forces,Margin of Error; With own children under 18 years: - 6 to 17 years only: - In labor force: - In Armed Forces,Estimate; With own children under 18 years: - 6 to 17 years only: - In labor force: - Civilian:,Margin of Error; With own children under 18 years: - 6 to 17 years only: - In labor force: - Civilian:,Estimate; With own children under 18 years: - 6 to 17 years only: - In labor force: - Civilian: - Employed,Margin of Error; With own children under 18 years: - 6 to 17 years only: - In labor force: - Civilian: - Employed,Estimate; With own children under 18 years: - 6 to 17 years only: - In labor force: - Civilian: - Unemployed,Margin of Error; With own children under 18 years: - 6 to 17 years only: - In labor force: - Civilian: - Unemployed,Estimate; With own children under 18 years: - 6 to 17 years only: - Not in labor force,Margin of Error; With own children under 18 years: - 6 to 17 years only: - Not in labor force,Estimate; No own children under 18 years:,Margin of Error; No own children under 18 years:,Estimate; No own children under 18 years: - In labor force:,Margin of Error; No own children under 18 years: - In labor force:,Estimate; No own children under 18 years: - In labor force: - In Armed Forces,Margin of Error; No own children under 18 years: - In labor force: - In Armed Forces,Estimate; No own children under 18 years: - In labor force: - Civilian:,Margin of Error; No own children under 18 years: - In labor force: - Civilian:,Estimate; No own children under 18 years: - In labor force: - Civilian: - Employed,Margin of Error; No own children under 18 years: - In labor force: - Civilian: - Employed,Estimate; No own children under 18 years: - In labor force: - Civilian: - Unemployed,Margin of Error; No own children under 18 years: - In labor force: - Civilian: - Unemployed,Estimate; No own children under 18 years: - Not in labor force,Margin of Error; No own children under 18 years: - Not in labor force
0500000US41003,41003,"Benton County, Oregon",25650,904,7668,1163,1468,588,967,413,0,200,967,413,967,413,0,200,501,359,958,422,540,317,0,200,540,317,540,317,0,200,418,260,5242,956,3872,854,0,200,3872,854,3813,842,59,78,1370,523,17982,1389,12824,1401,0,200,12824,1401,11456,1342,1368,579,5158,809
0500000US41005,41005,"Clackamas County, Oregon",115877,1059,44890,2012,9230,1303,6288,1028,0,200,6288,1028,5855,973,433,395,2942,931,8212,1470,5326,1334,0,200,5326,1334,4629,1250,697,451,2886,903,27448,1738,20865,1779,0,200,20865,1779,19412,1720,1453,694,6583,1330,70987,1985,54214,2541,0,200,54214,2541,50271,2554,3943,1027,16773,1705
0500000US41017,41017,"Deschutes County, Oregon",49234,916,14692,1976,4098,984,3122,905,0,200,3122,905,2946,933,176,283,976,644,2113,1020,1088,581,0,200,1088,581,1088,581,0,200,1025,841,8481,1812,7313,1639,0,200,7313,1639,7079,1600,234,303,1168,597,34542,2074,23700,1990,0,200,23700,1990,22660,2108,1040,696,10842,1616
0500000US41019,41019,"Douglas County, Oregon",29711,546,10790,1218,1840,764,1045,549,0,200,1045,549,876,490,169,268,795,440,2312,758,1578,648,0,200,1578,648,1524,646,54,87,734,504,6638,1223,5083,960,0,200,5083,960,4368,930,715,485,1555,749,18921,1310,11863,1544,0,200,11863,1544,10794,1496,1069,563,7058,1090
0500000US41029,41029,"Jackson County, Oregon",59807,726,20180,1808,4970,1131,3429,826,0,200,3429,826,3347,824,82,137,1541,712,4711,1294,3152,1201,0,200,3152,1201,2571,1112,581,621,1559,664,10499,1667,8271,1603,0,200,8271,1603,7478,1483,793,588,2228,846,39627,1966,26618,2350,0,200,26618,2350,25056,2226,1562,698,13009,1746
0500000US41033,41033,"Josephine County, Oregon",23216,859,6731,1169,1323,667,601,356,0,200,601,356,601,356,0,200,722,611,1810,836,808,447,0,200,808,447,665,433,143,218,1002,605,3598,873,2436,691,0,200,2436,691,2010,665,426,338,1162,544,16485,1292,8323,1499,0,200,8323,1499,7289,1469,1034,543,8162,1212
0500000US41035,41035,"Klamath County, Oregon",18683,555,7059,960,1776,520,1115,439,30,54,1085,436,833,369,252,288,661,371,1240,461,822,428,59,106,763,412,685,395,78,131,418,217,4043,852,2914,750,0,200,2914,750,2895,752,19,32,1129,517,11624,950,6719,1040,0,200,6719,1040,5920,946,799,449,4905,916
0500000US41039,41039,"Lane County, Oregon",107647,655,30280,2219,7397,1559,4308,1007,0,200,4308,1007,4200,1019,108,85,3089,1145,6086,1217,3610,891,0,200,3610,891,3176,877,434,319,2476,808,16797,1803,13487,1716,0,200,13487,1716,12388,1665,1099,534,3310,791,77367,2294,53712,2690,109,128,53603,2683,50039,2506,3564,959,23655,2432
0500000US41043,41043,"Linn County, Oregon",34323,604,12832,1254,3334,1139,2386,954,0,200,2386,954,1433,687,953,596,948,510,1924,655,1004,565,0,200,1004,565,698,410,306,422,920,514,7574,1113,5206,1021,0,200,5206,1021,4829,939,377,341,2368,747,21491,1294,15185,1620,0,200,15185,1620,13277,1625,1908,806,6306,1123
0500000US41047,41047,"Marion County, Oregon",90401,826,36327,2376,8026,1356,5801,1258,0,200,5801,1258,5560,1245,241,235,2225,752,8183,1689,5648,1468,0,200,5648,1468,4736,1300,912,548,2535,930,20118,2020,15334,2084,0,200,15334,2084,14213,1991,1121,622,4784,1126,54074,2452,38866,2435,75,133,38791,2455,35599,2507,3192,1048,15208,1707
0500000US41051,41051,"Multnomah County, Oregon",250938,1521,73477,3706,22113,2236,16080,1932,0,200,16080,1932,14826,1850,1254,729,6033,1246,14302,1783,9456,1543,0,200,9456,1543,8779,1483,677,373,4846,1222,37062,2546,27741,2541,0,200,27741,2541,26598,2439,1143,475,9321,1615,177461,3943,137803,4404,0,200,137803,4404,126841,4207,10962,1676,39658,3255
0500000US41053,41053,"Polk County, Oregon",22969,681,7504,1453,1253,530,930,481,0,200,930,481,900,466,30,59,323,254,1348,663,968,637,0,200,968,637,951,640,17,29,380,228,4903,1203,3739,929,0,200,3739,929,3161,930,578,366,1164,801,15465,1628,11460,1702,0,200,11460,1702,10237,1556,1223,820,4005,1096
0500000US41059,41059,"Umatilla County, Oregon",19743,712,8325,1105,1422,601,949,432,0,200,949,432,949,432,0,200,473,447,2141,741,1581,675,0,200,1581,675,1408,658,173,181,560,387,4762,916,3653,876,0,200,3653,876,3308,812,345,364,1109,454,11418,1214,7695,1186,0,200,7695,1186,6630,1094,1065,621,3723,723
0500000US41067,41067,"Washington County, Oregon",170529,1274,64893,3139,14901,2086,9872,1532,0,200,9872,1532,9355,1523,517,330,5029,1086,12177,1853,6989,1477,0,200,6989,1477,5893,1391,1096,607,5188,1089,37815,2566,29575,2554,0,200,29575,2554,28428,2630,1147,515,8240,1577,105636,3214,80201,3847,0,200,80201,3847,73303,3661,6898,1699,25435,2543
0500000US41071,41071,"Yamhill County, Oregon",27408,759,10994,1159,2363,933,1446,656,0,200,1446,656,1292,630,154,167,917,689,2377,725,1383,607,0,200,1383,607,1370,612,13,24,994,590,6254,938,4828,891,0,200,4828,891,4597,881,231,169,1426,576,16414,1167,11161,1160,0,200,11161,1160,10120,1190,1041,518,5253,907
