GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Under 6 years:,Margin of Error; Total: - Under 6 years:,Estimate; Total: - Under 6 years: - Living with two parents:,Margin of Error; Total: - Under 6 years: - Living with two parents:,Estimate; Total: - Under 6 years: - Living with two parents: - Both parents in labor force,Margin of Error; Total: - Under 6 years: - Living with two parents: - Both parents in labor force,Estimate; Total: - Under 6 years: - Living with two parents: - Father only in labor force,Margin of Error; Total: - Under 6 years: - Living with two parents: - Father only in labor force,Estimate; Total: - Under 6 years: - Living with two parents: - Mother only in labor force,Margin of Error; Total: - Under 6 years: - Living with two parents: - Mother only in labor force,Estimate; Total: - Under 6 years: - Living with two parents: - Neither parent in labor force,Margin of Error; Total: - Under 6 years: - Living with two parents: - Neither parent in labor force,Estimate; Total: - Under 6 years: - Living with one parent:,Margin of Error; Total: - Under 6 years: - Living with one parent:,Estimate; Total: - Under 6 years: - Living with one parent: - In labor force,Margin of Error; Total: - Under 6 years: - Living with one parent: - In labor force,Estimate; Total: - Under 6 years: - Living with one parent: - Not in labor force,Margin of Error; Total: - Under 6 years: - Living with one parent: - Not in labor force,Estimate; Total: - 6 to 17 years:,Margin of Error; Total: - 6 to 17 years:,Estimate; Total: - 6 to 17 years: - Living with two parents:,Margin of Error; Total: - 6 to 17 years: - Living with two parents:,Estimate; Total: - 6 to 17 years: - Living with two parents: - Both parents in labor force,Margin of Error; Total: - 6 to 17 years: - Living with two parents: - Both parents in labor force,Estimate; Total: - 6 to 17 years: - Living with two parents: - Father only in labor force,Margin of Error; Total: - 6 to 17 years: - Living with two parents: - Father only in labor force,Estimate; Total: - 6 to 17 years: - Living with two parents: - Mother only in labor force,Margin of Error; Total: - 6 to 17 years: - Living with two parents: - Mother only in labor force,Estimate; Total: - 6 to 17 years: - Living with two parents: - Neither parent in labor force,Margin of Error; Total: - 6 to 17 years: - Living with two parents: - Neither parent in labor force,Estimate; Total: - 6 to 17 years: - Living with one parent:,Margin of Error; Total: - 6 to 17 years: - Living with one parent:,Estimate; Total: - 6 to 17 years: - Living with one parent: - In labor force,Margin of Error; Total: - 6 to 17 years: - Living with one parent: - In labor force,Estimate; Total: - 6 to 17 years: - Living with one parent: - Not in labor force,Margin of Error; Total: - 6 to 17 years: - Living with one parent: - Not in labor force
0500000US41003,41003,"Benton County, Oregon",14627,435,3831,648,3572,687,1668,370,1523,661,381,306,0,200,259,212,204,190,55,86,10796,588,9156,787,5524,1006,2553,828,576,422,503,426,1640,747,986,627,654,447
0500000US41005,41005,"Clackamas County, Oregon",83974,1408,25046,1500,20962,1937,11595,2120,7821,1852,850,817,696,980,4084,1146,3502,1106,582,328,58928,1444,43182,2943,28112,2865,13821,2988,902,484,347,380,15746,2796,14133,2775,1613,617
0500000US41017,41017,"Deschutes County, Oregon",34292,1212,10620,1148,6132,1392,3067,1256,2778,1143,287,355,0,200,4488,1380,3693,1293,795,666,23672,1557,18757,2199,12773,3147,4958,3165,425,455,601,756,4915,1420,4607,1420,308,309
0500000US41019,41019,"Douglas County, Oregon",19768,823,5786,759,3776,872,1683,637,1385,611,563,408,145,190,2010,737,1614,771,396,266,13982,862,8844,1614,6152,1688,1745,870,700,429,247,258,5138,1577,4191,1613,947,528
0500000US41029,41029,"Jackson County, Oregon",42095,1075,14535,1502,9211,2065,5080,1565,2560,892,1348,1920,223,254,5324,1525,3433,1203,1891,1144,27560,1584,14708,2393,8975,2150,4402,1611,954,909,377,322,12852,2456,9709,2251,3143,1734
0500000US41033,41033,"Josephine County, Oregon",15484,643,4065,507,2469,651,666,380,1383,682,218,215,202,225,1596,601,1095,634,501,450,11419,703,7632,1218,3687,1220,2922,1353,532,527,491,725,3787,1213,2453,986,1334,772
0500000US41035,41035,"Klamath County, Oregon",13920,317,4103,382,2916,667,1810,652,1106,391,0,200,0,200,1187,459,858,437,329,241,9817,469,6709,1153,3710,1089,2646,998,207,199,146,203,3108,1105,2373,980,735,675
0500000US41039,41039,"Lane County, Oregon",64313,1308,20803,1320,13936,1760,7287,1646,5506,1283,211,234,932,842,6867,1464,5127,1250,1740,721,43510,1915,29841,2363,19556,2911,8337,2173,609,393,1339,732,13669,2301,10925,2080,2744,1046
0500000US41043,41043,"Linn County, Oregon",25570,1329,7982,1187,5045,1349,2206,904,1784,888,368,442,687,953,2937,914,1892,864,1045,720,17588,1063,10829,1754,6381,1605,4073,1546,375,247,0,200,6759,1797,3771,1280,2988,1546
0500000US41047,41047,"Marion County, Oregon",80159,1169,24740,1586,14965,1820,9856,1643,4578,1410,407,286,124,148,9775,1822,7458,1708,2317,1058,55419,1520,37380,3215,24305,2840,12031,2780,664,534,380,347,18039,3103,15340,2967,2699,1318
0500000US41051,41051,"Multnomah County, Oregon",142908,2396,52048,1679,36763,2557,23308,2403,11668,2207,1597,749,190,235,15285,2403,11404,2118,3881,1263,90860,2217,56308,3959,35161,3396,17334,2660,2681,1213,1132,618,34552,4210,27954,3610,6598,2116
0500000US41053,41053,"Polk County, Oregon",17622,377,4817,588,3203,1031,2143,931,1046,600,0,200,14,26,1614,921,1364,973,250,324,12805,726,8517,1269,5953,1429,1961,1181,587,492,16,33,4288,1361,3332,1457,956,726
0500000US41059,41059,"Umatilla County, Oregon",18447,729,6221,491,3120,858,1814,638,1092,764,116,199,98,139,3101,790,2692,808,409,262,12226,773,7913,1130,6093,1262,1434,551,59,97,327,276,4313,914,4081,948,232,233
0500000US41067,41067,"Washington County, Oregon",132844,1242,43029,1343,35270,2006,19303,2038,14876,2399,932,587,159,163,7759,1770,5698,1531,2061,974,89815,1413,68199,3691,43681,3999,21473,3373,2594,1184,451,329,21616,3320,20022,3297,1594,903
0500000US41071,41071,"Yamhill County, Oregon",23100,458,6625,544,5843,690,3325,906,2330,1021,149,212,39,71,782,468,647,412,135,187,16475,684,11558,1660,7141,1559,3021,1123,787,702,609,551,4917,1690,3980,1289,937,874
